0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:16 +0900] "GET /resources/image/main-image/lucerne-4285441_1920.jpg HTTP/1.1" 200 612757
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:16 +0900] "GET /resources/image/main-image/kinkakuji-japan-2328557_1920.jpg HTTP/1.1" 200 757263
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:16 +0900] "GET /resources/image/main-image/italian-venezia-7700549_1920.jpg HTTP/1.1" 200 1064241
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET / HTTP/1.1" 200 6248
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/js/dropMenu.js HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-logo/landmark-logo2.png HTTP/1.1" 200 63558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/css/common.css HTTP/1.1" 200 4907
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/css/user.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/css/input.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/js/slider.js HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-image/sapporo-snow-festival.png HTTP/1.1" 200 414194
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-image/dragon-224930_1920.jpg HTTP/1.1" 200 489801
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-image/kinkakuji-japan-2328557_1920.jpg HTTP/1.1" 200 757263
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-image/italian-venezia-7700549_1920.jpg HTTP/1.1" 200 1064241
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-image/lucerne-4285441_1920.jpg HTTP/1.1" 200 612757
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-image/japan-419763_1920.jpg HTTP/1.1" 200 542183
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET / HTTP/1.1" 200 6248
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-logo/landmark-logo2.png HTTP/1.1" 200 63558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/css/common.css HTTP/1.1" 200 4907
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/css/input.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/js/slider.js HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/css/user.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/js/dropMenu.js HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-image/sapporo-snow-festival.png HTTP/1.1" 200 414194
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-image/japan-419763_1920.jpg HTTP/1.1" 200 542183
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-image/italian-venezia-7700549_1920.jpg HTTP/1.1" 200 1064241
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-image/lucerne-4285441_1920.jpg HTTP/1.1" 200 612757
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-image/dragon-224930_1920.jpg HTTP/1.1" 200 489801
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:17 +0900] "GET /resources/image/main-image/kinkakuji-japan-2328557_1920.jpg HTTP/1.1" 200 757263
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:18 +0900] "GET /user/login HTTP/1.1" 200 6123
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:18 +0900] "GET /resources/css/input.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:18 +0900] "GET /resources/css/common.css HTTP/1.1" 200 4907
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:19 +0900] "GET /resources/css/user.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:19 +0900] "GET /resources/image/main-logo/landmark-logo2.png HTTP/1.1" 200 63558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:19 +0900] "GET /resources/js/dropMenu.js HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "POST /user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "POST /user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "GET / HTTP/1.1" 200 6438
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "GET /resources/css/common.css HTTP/1.1" 200 4907
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "GET /resources/js/slider.js HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "GET /resources/css/user.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "GET /resources/js/dropMenu.js HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "GET /resources/css/input.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "GET /resources/image/main-logo/landmark-logo2.png HTTP/1.1" 200 63558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "GET /resources/image/main-image/sapporo-snow-festival.png HTTP/1.1" 200 414194
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "GET /resources/image/main-image/lucerne-4285441_1920.jpg HTTP/1.1" 200 612757
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "GET /resources/image/main-image/japan-419763_1920.jpg HTTP/1.1" 200 542183
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "GET /resources/image/main-image/dragon-224930_1920.jpg HTTP/1.1" 200 489801
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "GET /resources/image/main-image/italian-venezia-7700549_1920.jpg HTTP/1.1" 200 1064241
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:32 +0900] "GET /resources/image/main-image/kinkakuji-japan-2328557_1920.jpg HTTP/1.1" 200 757263
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:35 +0900] "GET /package/register HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:40 +0900] "POST /package/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:40 +0900] "GET /product/list HTTP/1.1" 200 25195
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:40 +0900] "GET /resources/css/product_list.css HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:40 +0900] "GET /resources/js/product_list.js HTTP/1.1" 200 1863
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:32:40 +0900] "GET /product/image HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:14 +0900] "GET / HTTP/1.1" 200 6248
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:14 +0900] "GET /resources/css/user.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:14 +0900] "GET /resources/css/input.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:14 +0900] "GET /resources/image/main-logo/landmark-logo2.png HTTP/1.1" 200 63558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:14 +0900] "GET /resources/js/slider.js HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:14 +0900] "GET /resources/css/common.css HTTP/1.1" 200 4907
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:14 +0900] "GET /resources/js/dropMenu.js HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:15 +0900] "GET /resources/image/main-image/japan-419763_1920.jpg HTTP/1.1" 200 542183
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:15 +0900] "GET /resources/image/main-image/sapporo-snow-festival.png HTTP/1.1" 200 414194
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:15 +0900] "GET /resources/image/main-image/lucerne-4285441_1920.jpg HTTP/1.1" 200 612757
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:15 +0900] "GET /resources/image/main-image/kinkakuji-japan-2328557_1920.jpg HTTP/1.1" 200 757263
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:15 +0900] "GET /resources/image/main-image/dragon-224930_1920.jpg HTTP/1.1" 200 489801
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:15 +0900] "GET /resources/image/main-image/italian-venezia-7700549_1920.jpg HTTP/1.1" 200 1064241
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:15 +0900] "GET /package/register HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:15 +0900] "GET /product/list HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:38 +0900] "GET /package/register HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:40 +0900] "POST /package/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:40 +0900] "GET /package/list HTTP/1.1" 200 6653
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:50 +0900] "GET /package/detail?pkNo=102 HTTP/1.1" 200 7474
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:50 +0900] "GET /resources/css/user-number.css?var=2 HTTP/1.1" 200 6686
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:50 +0900] "GET /resources/js/userPayment.js HTTP/1.1" 200 7843
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:34:51 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 31828099
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:35:09 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 679936
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:35:09 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 10231808
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:35:12 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 1452163
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:35:28 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 3514368
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:35:28 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 1269760
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:43:52 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 23865475
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:44:15 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 8069120
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:53 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 1026179
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:54 +0900] "GET /package/detail?pkNo=102 HTTP/1.1" 200 7425
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:54 +0900] "GET /resources/js/userPayment.js HTTP/1.1" 200 7843
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:54 +0900] "GET /resources/css/user-number.css?var=2 HTTP/1.1" 200 6686
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:55 +0900] "GET /package/detail?pkNo=102 HTTP/1.1" 200 7425
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:55 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 25935872
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:55 +0900] "GET /resources/css/user-number.css?var=2 HTTP/1.1" 200 6686
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:55 +0900] "GET /resources/js/userPayment.js HTTP/1.1" 200 7843
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:55 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 3047424
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:58 +0900] "GET /package/detail?pkNo=102 HTTP/1.1" 200 7425
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:58 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 6651904
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:58 +0900] "GET /resources/css/user-number.css?var=2 HTTP/1.1" 200 6686
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:58 +0900] "GET /resources/js/userPayment.js HTTP/1.1" 200 7843
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:58 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 3072000
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:48:58 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 139264
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:01 +0900] "GET /package/detail?pkNo=102 HTTP/1.1" 200 7425
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:01 +0900] "GET /resources/css/user-number.css?var=2 HTTP/1.1" 200 6686
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:01 +0900] "GET /resources/js/userPayment.js HTTP/1.1" 200 7843
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:03 +0900] "GET /resources/image/pierrr.mp4 HTTP/1.1" 206 5613699
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:20 +0900] "GET / HTTP/1.1" 200 6248
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:20 +0900] "GET /resources/css/common.css HTTP/1.1" 200 4907
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:20 +0900] "GET /resources/css/input.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:20 +0900] "GET /resources/js/dropMenu.js HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:20 +0900] "GET /resources/css/user.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:20 +0900] "GET /resources/image/main-logo/landmark-logo2.png HTTP/1.1" 200 63558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:20 +0900] "GET /resources/js/slider.js HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:21 +0900] "GET /resources/image/main-image/sapporo-snow-festival.png HTTP/1.1" 200 414194
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:21 +0900] "GET /resources/image/main-image/kinkakuji-japan-2328557_1920.jpg HTTP/1.1" 200 757263
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:21 +0900] "GET /resources/image/main-image/italian-venezia-7700549_1920.jpg HTTP/1.1" 200 1064241
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:21 +0900] "GET /resources/image/main-image/dragon-224930_1920.jpg HTTP/1.1" 200 489801
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:49:21 +0900] "GET /resources/image/main-image/lucerne-4285441_1920.jpg HTTP/1.1" 200 612757
